time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-10T19:56:02.860Z,38.061,-122.2285,8.84,3.53,mw,192,61,0.006408,0.17,nc,nc73109341,2019-02-17T10:36:01.677Z,"2km NW of Crockett, CA",earthquake,0.11,0.16,,5,reviewed,nc,nc
2018-11-02T15:27:03.690Z,36.6763333,-121.303,5.27,3.55,mw,65,54,0.06601,0.07,nc,nc73105346,2019-01-21T14:29:44.040Z,"13km S of Tres Pinos, CA",earthquake,0.12,0.52,,5,reviewed,nc,nc
2018-11-02T13:22:45.940Z,36.6793333,-121.3055,2.61,3.56,mw,31,77,0.06873,0.05,nc,nc73105296,2018-11-03T16:06:44.688Z,"12km S of Tres Pinos, CA",earthquake,0.19,1.05,,6,reviewed,nc,nc
2018-11-02T12:58:54.230Z,36.6801667,-121.3146667,6.48,4.11,mw,80,54,0.06916,0.15,nc,nc73105276,2019-01-21T14:29:44.040Z,"12km S of Tres Pinos, CA",earthquake,0.14,0.51,,5,reviewed,nc,nc
2018-10-05T13:29:37.550Z,36.7533333,-121.3536667,11.42,3.83,mw,87,42,0.07589,0.26,nc,nc73093981,2018-12-14T20:32:41.040Z,"5km SW of Tres Pinos, CA",earthquake,0.22,0.5,,8,reviewed,nc,nc
2018-07-30T22:22:53.470Z,38.0828333,-122.4096667,11.95,3.66,mw,249,27,0.0684,0.16,nc,nc73061391,2019-02-17T15:53:07.990Z,"10km ESE of Black Point-Green Point, CA",earthquake,0.09,0.18,,4,reviewed,nc,nc
2018-04-16T16:39:26.470Z,37.4346667,-121.773,9.31,3.82,mw,216,31,0.02682,0.12,nc,nc73000196,2019-01-26T03:12:37.075Z,"9km NNE of Alum Rock, CA",earthquake,0.07,0.16,,6,reviewed,nc,nc
2018-02-23T20:19:39.660Z,37.8263333,-121.9845,6.16,3.51,mw,137,25,0.01812,0.18,nc,nc72974766,2018-05-22T02:00:24.040Z,"2km ENE of Danville, CA",earthquake,0.12,0.16,,3,reviewed,nc,nc
2018-01-24T06:02:33.030Z,36.9373333,-121.661,7.1,3.6,mw,137,47,0.006471,0.13,nc,nc72957816,2018-11-08T21:54:39.420Z,"6km NNW of Aromas, CA",earthquake,0.11,0.2,,6,reviewed,nc,nc
2018-01-04T10:39:37.730Z,37.8551667,-122.2568333,12.31,4.38,mw,289,13,0.004662,0.18,nc,nc72948801,2019-02-17T22:51:28.325Z,"2km SE of Berkeley, CA",earthquake,0.11,0.2,,7,reviewed,nc,nc
2017-12-27T06:32:09.060Z,37.3965,-121.7468333,10.55,3.9,mw,248,29,0.02939,0.2,nc,nc72944701,2018-09-08T20:23:44.477Z,"8km ENE of Alum Rock, CA",earthquake,0.1,0.23,,4,reviewed,nc,nc
2017-11-15T01:23:53.150Z,36.6271667,-121.2378333,5.5,3.76,mw,77,55,0.06392,0.09,nc,nc72924455,2018-02-06T02:45:34.040Z,"22km NE of Gonzales, California",earthquake,0.12,0.38,,4,reviewed,nc,nc
2017-11-13T19:31:29.050Z,36.6305,-121.2443333,6.31,4.58,mw,82,55,0.05988,0.11,nc,nc72923380,2018-10-05T14:00:40.985Z,"22km NE of Gonzales, California",earthquake,0.12,0.36,,6,reviewed,nc,nc
2017-10-10T00:53:18.270Z,37.3135,-121.672,9.69,4.09,mw,243,23,0.0366,0.16,nc,nc72906781,2018-04-16T19:28:14.135Z,"14km ESE of Alum Rock, California",earthquake,0.1,0.2,,6,reviewed,nc,nc
2017-08-31T15:59:16.280Z,38.621,-122.7033333,6.67,3.52,mw,117,43,0.07814,0.13,nc,nc72882765,2018-01-18T06:09:09.089Z,"11km WNW of Calistoga, California",earthquake,0.11,0.39,,4,reviewed,nc,nc
2017-04-30T01:29:19.710Z,37.8251667,-121.806,15.2,3.78,mw,259,30,0.01495,0.25,nc,nc72795746,2017-07-29T03:16:08.040Z,"8km E of Blackhawk, California",earthquake,0.15,0.27,,13,reviewed,nc,nc
2017-04-13T22:21:02.320Z,36.4725,-120.9975,5.06,3.52,mw,75,101,0.0508,0.12,nc,nc72788391,2017-07-05T18:09:59.040Z,"27km NE of Greenfield, California",earthquake,0.18,0.6,,4,reviewed,nc,nc
2017-03-31T10:55:53.700Z,36.8776667,-121.6141667,6.2,4,mw,113,27,0.02664,0.12,nc,nc72782971,2017-06-16T23:08:05.040Z,"2km ESE of Aromas, California",earthquake,0.09,0.19,,4,reviewed,nc,nc
2017-03-08T17:20:23.530Z,36.6355,-121.2558333,7.16,3.72,mw,82,56,0.05334,0.09,nc,nc72771746,2017-05-31T01:58:59.040Z,"21km SSE of Ridgemark, California",earthquake,0.1,0.3,,4,reviewed,nc,nc
2017-02-26T14:58:40.100Z,36.959,-121.5756667,4.46,3.6,mw,148,44,0.01487,0.19,nc,nc72768191,2018-11-29T14:13:37.454Z,"5km S of Gilroy, California",earthquake,0.11,0.23,,3,reviewed,nc,nc
2017-01-23T03:15:19.780Z,36.5886667,-121.1448333,8.17,3.5,ml,52,57,0.08534,0.09,nc,nc72755195,2017-04-19T18:30:56.040Z,"24km NE of Soledad, California",earthquake,0.12,0.35,0.17,55,reviewed,nc,nc
2016-11-09T00:55:46.860Z,36.4631667,-121.007,6.5,3.6,mw,73,63,0.03964,0.09,nc,nc72722235,2017-03-18T00:06:11.011Z,"26km NE of Greenfield, California",earthquake,0.14,0.3,,7,reviewed,nc,nc
2016-10-18T22:09:07.690Z,36.713,-121.3113333,7.59,3.55,mw,68,41,0.05586,0.13,nc,nc72714296,2017-03-18T00:04:09.872Z,"12km SSE of Ridgemark, California",earthquake,0.15,0.45,,5,reviewed,nc,nc
